Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
746.06,74.8,3.0,45.1
747.06,74.7,3.0,45.1
748.06,75.3,3.0,45.1
749.06,72.2,3.0,45.1
750.06,75.4,3.0,45.1
751.06,74.8,3.0,45.1
752.06,74.5,3.0,45.1
753.06,74.9,3.0,45.1
754.06,74.9,3.0,45.1
755.06,74.1,3.0,45.1
756.06,74.0,3.0,45.1
757.06,75.2,3.0,45.1
758.06,74.6,3.0,45.1
759.06,75.3,3.0,45.1
760.06,74.1,3.0,45.1
761.06,75.2,3.0,45.1
762.06,73.6,3.0,45.1
763.06,74.9,3.0,45.1
764.06,75.1,3.0,45.1
765.06,74.6,3.0,45.1
766.06,75.1,3.0,45.1
767.06,74.4,3.0,45.1
768.06,75.1,3.0,45.1
769.06,75.3,3.0,45.1
770.06,72.3,3.0,45.1
771.06,75.1,3.0,45.1
772.06,74.7,3.0,45.1
773.06,75.1,3.0,45.1
774.07,74.2,3.0,45.1
775.07,72.8,3.0,45.1
776.07,75.0,3.0,45.1
777.07,72.1,3.0,45.1
778.07,75.0,3.0,45.1
779.07,74.5,3.0,45.1
780.07,73.6,3.0,45.1
781.07,74.5,3.0,45.1
782.07,74.5,3.0,45.1
783.07,75.0,3.0,45.1
784.07,74.5,3.0,45.1
785.07,75.4,3.0,45.1
786.07,74.4,3.0,45.1
787.07,75.3,3.0,45.1
788.07,75.2,3.0,45.1
789.07,74.6,3.0,45.1
790.07,75.4,3.0,45.1
791.07,74.3,3.0,45.1
792.07,75.2,3.0,45.1
793.07,74.0,3.0,45.1
794.07,75.2,3.0,45.1
795.07,74.4,3.0,45.1
796.07,73.3,3.0,45.1
797.07,75.4,3.0,45.1
798.07,74.2,3.0,45.1
799.07,75.3,3.0,45.1
800.07,72.3,3.0,45.1
801.07,74.6,3.0,45.1
802.07,75.2,3.0,45.1
803.07,74.5,3.0,45.1
804.07,75.2,3.0,45.1
805.07,73.6,3.0,45.1
806.07,74.3,3.0,45.1
807.07,74.0,3.0,45.1
808.07,75.4,3.0,45.1
809.07,73.6,3.0,45.1
810.07,71.3,3.0,45.1
811.07,75.3,3.0,45.1
812.07,74.7,3.0,45.1
813.07,74.8,3.0,45.1
814.07,73.6,3.0,45.1
815.07,74.9,3.0,45.1
816.07,74.8,3.0,45.1
817.07,74.6,3.0,45.1
818.07,75.0,3.0,45.1
819.07,73.8,3.0,45.1
820.07,75.3,3.0,45.1
821.07,74.2,3.0,45.1
822.07,73.9,3.0,45.1
823.07,74.7,3.0,45.1
824.07,73.9,3.0,45.1
825.07,75.5,3.0,45.1
826.07,73.6,3.0,45.1
827.07,74.9,3.0,45.1
828.07,74.1,3.0,45.1
829.07,75.0,3.0,45.1
830.07,75.0,3.0,45.1
831.07,74.9,3.0,45.1
832.07,74.9,3.0,45.1
833.07,74.0,3.0,45.1
834.07,74.8,3.0,45.1
835.07,74.7,3.0,45.1
836.07,74.9,3.0,45.1
837.07,74.6,3.0,45.1
838.07,74.2,3.0,45.1
839.07,75.1,3.0,45.1
840.07,74.1,3.0,45.1
841.07,74.8,3.0,45.1
842.07,74.3,3.0,45.1
843.07,74.4,3.0,45.1
844.07,74.2,3.0,45.1
845.07,74.4,3.0,45.1
846.07,75.0,3.0,45.1
847.07,74.3,3.0,45.1
848.07,75.2,3.0,45.1
849.07,74.6,3.0,45.1
850.07,74.7,3.0,45.1
851.07,75.3,3.0,45.1
852.07,74.2,3.0,45.1
853.07,74.5,3.0,45.1
854.07,74.0,3.0,45.1
855.07,75.3,3.0,45.1
856.07,73.8,3.0,45.1
857.07,75.2,3.0,45.1
858.07,74.8,3.0,45.1
859.07,73.9,3.0,45.1
860.07,75.1,3.0,45.1
861.07,73.9,3.0,45.1
862.07,74.4,3.0,45.1
863.07,73.7,3.0,45.1
864.07,74.6,3.0,45.1
