Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
370.03,75.0,2.8,44.9
371.03,75.3,2.8,44.9
372.03,74.8,2.8,44.9
373.03,74.1,2.8,44.9
374.03,74.6,2.8,44.9
375.03,75.0,2.8,44.9
376.03,74.3,2.8,44.9
377.03,75.4,2.8,44.9
378.03,74.4,2.8,44.9
379.03,75.1,2.8,44.9
380.03,75.1,2.8,44.9
381.03,75.2,2.8,44.9
382.03,75.1,2.8,44.9
383.03,75.0,2.8,44.9
384.03,74.9,2.8,44.9
385.03,74.8,2.8,44.9
386.03,75.4,2.8,44.9
387.03,75.2,2.8,44.9
388.03,75.0,2.8,44.9
389.03,74.8,2.8,44.9
390.03,75.0,2.8,44.9
391.03,75.1,2.8,44.9
392.03,74.4,2.8,44.9
393.03,75.3,2.8,44.9
394.03,73.7,2.8,44.9
395.03,74.1,2.8,44.9
396.03,74.5,2.8,44.9
397.03,75.2,2.8,44.9
398.03,74.9,2.8,44.9
399.03,74.8,2.8,44.9
400.03,75.3,2.8,44.9
401.03,75.0,2.8,44.9
402.03,74.8,2.8,44.9
403.03,75.0,2.8,44.9
404.03,75.0,2.8,44.9
405.03,75.1,2.8,44.9
406.03,74.4,2.8,44.9
407.04,74.8,2.8,44.9
408.04,75.2,2.8,44.9
409.04,74.7,2.8,44.9
410.04,74.4,2.8,44.9
411.04,74.6,2.8,44.9
412.04,75.3,2.8,44.9
413.04,74.3,2.8,44.9
414.04,74.8,2.8,44.9
415.04,74.9,2.8,44.9
416.04,73.2,2.8,44.9
417.04,75.0,2.8,44.9
418.04,75.2,2.8,44.9
419.04,73.7,2.8,44.9
420.04,74.9,2.8,44.9
421.04,74.3,2.8,44.9
422.04,74.6,2.8,44.9
423.04,74.5,2.8,44.9
424.04,74.3,2.8,44.9
425.04,75.0,2.8,44.9
426.04,75.1,2.8,44.9
427.04,74.9,2.8,44.9
428.04,75.1,2.8,44.9
429.04,74.0,2.8,44.9
430.04,74.9,2.8,44.9
431.04,74.8,2.8,44.9
432.04,74.9,2.8,44.9
433.04,74.5,2.8,44.9
434.04,75.1,2.8,44.9
435.04,74.6,2.8,44.9
436.04,74.8,2.8,44.9
437.04,75.1,2.8,44.9
438.04,74.6,2.8,44.9
439.04,75.2,2.8,44.9
440.04,74.3,2.8,44.9
441.04,74.8,2.8,44.9
